iter	Logloss
0	0.6528754872
1	0.6178980373
2	0.5832864922
3	0.55377033
4	0.5218157551
5	0.4915315365
6	0.4667071066
7	0.4459415701
8	0.4261853771
9	0.4080804298
10	0.3882178259
11	0.3715646842
12	0.3554715335
13	0.3405147704
14	0.327640961
15	0.3154747741
16	0.3040914579
17	0.2934123421
18	0.283258501
19	0.2739777681
20	0.2654290687
21	0.2589000078
22	0.2497504958
23	0.2427540464
24	0.2369731465
25	0.2310611639
26	0.224681757
27	0.2197697752
28	0.2154104474
29	0.210377942
30	0.2058115874
31	0.2009873866
32	0.1969713546
33	0.193152581
34	0.1899814354
35	0.1855464578
36	0.1814597388
37	0.1782161815
38	0.1762754364
39	0.1732125744
40	0.1704810102
41	0.1677689222
42	0.1650314229
43	0.1625487661
44	0.1602711025
45	0.1575011696
46	0.155989626
47	0.1530577779
48	0.1513124328
49	0.1491507226
50	0.1477177144
51	0.1457459127
52	0.1443536694
53	0.1427449179
54	0.1407282837
55	0.138953515
56	0.1375252296
57	0.1358908074
58	0.1345283019
59	0.1334302328
60	0.1317299591
61	0.1304852649
62	0.1289517476
63	0.127352095
64	0.125939347
65	0.1252101204
66	0.124211492
67	0.1230234801
68	0.1223843288
69	0.1215393106
70	0.1204065439
71	0.1194610314
72	0.1183361571
73	0.1172880304
74	0.1163735724
75	0.1151142406
76	0.1142007341
77	0.1134462701
78	0.1122763244
79	0.1113133585
80	0.1107678989
81	0.1093748842
82	0.1085767022
83	0.1077911643
84	0.1067691223
85	0.1058321412
86	0.1052634377
87	0.1045646296
88	0.1043458342
89	0.1036309453
90	0.1029687593
91	0.1021382128
92	0.1010471917
93	0.1002692566
94	0.09940785658
95	0.09823329451
96	0.09759300614
97	0.09684591563
98	0.09631455442
99	0.09566228848
100	0.09495620879
101	0.09442171454
102	0.09390481658
103	0.09327608532
104	0.09273070132
105	0.09234156544
106	0.09189887027
107	0.09053194646
108	0.09009377882
109	0.08961648218
110	0.08896555768
111	0.08826132718
112	0.08780204231
113	0.08715334311
114	0.08651608587
115	0.08603030589
116	0.08555965228
117	0.08509878802
118	0.08476689906
119	0.08402965058
120	0.08325916543
121	0.08294621606
122	0.08249143714
123	0.08212308041
124	0.08128422205
125	0.08096814449
126	0.08073913442
127	0.08013052099
128	0.07972986731
129	0.07944065814
130	0.07903666121
131	0.07882179753
132	0.07852131518
133	0.07808714486
134	0.07765962148
135	0.07746281171
136	0.077207958
137	0.0769982221
138	0.076624172
139	0.07615754166
140	0.0756153739
141	0.07530356903
142	0.07483277982
143	0.07455072035
144	0.07424381342
145	0.0736630051
146	0.07332504675
147	0.07310200576
148	0.07268185337
149	0.07232742246
150	0.07203751401
151	0.0717713711
152	0.07151802503
153	0.07116055662
154	0.07097518613
155	0.07048386341
156	0.07012062306
157	0.06963579207
158	0.06927686562
159	0.06897954141
160	0.06858659224
161	0.06831942173
162	0.06790453301
163	0.06763497503
164	0.06745580361
165	0.06713332409
166	0.06681141069
167	0.06658594246
168	0.06651587516
169	0.06619472872
170	0.06580866319
171	0.06540349363
172	0.06514347752
173	0.06477055724
174	0.06462741185
175	0.0643579664
176	0.06413214848
177	0.06392579939
178	0.06368970366
179	0.06340556373
180	0.06318759972
181	0.06297968248
182	0.06294042392
183	0.06283361371
184	0.06267875707
185	0.06234048426
186	0.06204935804
187	0.06163003328
188	0.06130658194
189	0.06095694557
190	0.06076620573
191	0.06061932639
192	0.06033496707
193	0.05995411804
194	0.05945687794
195	0.05922875225
196	0.05893302223
197	0.05861423846
198	0.05819388539
199	0.05797543272
200	0.05767127525
201	0.05745774052
202	0.05700983953
203	0.05675781687
204	0.05653879032
205	0.05635828829
206	0.0559848461
207	0.05580441785
208	0.05524963877
209	0.05499142979
210	0.05478505351
211	0.05453834334
212	0.05430318853
213	0.05406408164
214	0.05388156064
215	0.05359070097
216	0.05341079365
217	0.05313430068
218	0.05291277391
219	0.05259408877
220	0.05218905498
221	0.05192538177
222	0.05152071181
223	0.05139642716
224	0.05126282658
225	0.05092100179
226	0.05064763131
227	0.05031038852
228	0.05004079704
229	0.04975025426
230	0.04949973539
231	0.04922432894
232	0.04877047815
233	0.04859052771
234	0.0481048125
235	0.04767828596
236	0.04722255906
237	0.04707981463
238	0.04689701896
239	0.04664424466
240	0.04646808157
241	0.04628187213
242	0.0460733828
243	0.04591677863
244	0.04574323354
245	0.04544490864
246	0.04528192289
247	0.04512179322
248	0.04481433274
249	0.04451041537
250	0.0443310711
251	0.04412022163
252	0.04382999664
253	0.04361960247
254	0.04343605885
255	0.04332536072
256	0.04303809621
257	0.04289857469
258	0.0428175934
259	0.04262422354
260	0.04229195715
261	0.04217593283
262	0.04199615099
263	0.0418027638
264	0.04145710158
265	0.04134124423
266	0.04121854908
267	0.04113881304
268	0.04087293557
269	0.04069822035
270	0.04057196115
271	0.04021881535
272	0.04006259202
273	0.03983961046
274	0.03970748104
275	0.03959738164
276	0.03941128181
277	0.03924517651
278	0.03898101705
279	0.03887461752
280	0.03876418014
281	0.03866399662
282	0.03847239386
283	0.03826348178
284	0.03812634268
285	0.0379678773
286	0.03789128985
287	0.03762959116
288	0.03736605583
289	0.03710006955
290	0.03698200478
291	0.03666883868
292	0.03641928775
293	0.03629813425
294	0.03622907936
295	0.03612693925
296	0.03583861085
297	0.03573919388
298	0.03564815839
299	0.0355608937
300	0.03541683727
301	0.03528369055
302	0.03518151702
303	0.03505561655
304	0.03494553161
305	0.03483430341
306	0.03460547052
307	0.0343661714
308	0.03407340455
309	0.03397195691
310	0.03377428679
311	0.03359307596
312	0.03349633625
313	0.03335809641
314	0.03316034465
315	0.03306733464
316	0.03286278031
317	0.03269150832
318	0.03256203783
319	0.03248564548
320	0.03237855388
321	0.03223281413
322	0.03212959928
323	0.03204126043
324	0.03191956282
325	0.03167435286
326	0.03156693765
327	0.03140131056
328	0.03130323626
329	0.03120856804
330	0.03111666213
331	0.03101564171
332	0.0308878983
333	0.03076299129
334	0.03067519806
335	0.03052199659
336	0.03043660055
337	0.03035120345
338	0.03023673239
339	0.03017493896
340	0.03009107115
341	0.03000999945
342	0.02994467778
343	0.02983487926
344	0.02977513033
345	0.02967604208
346	0.0295978778
347	0.02952262537
348	0.02943765603
349	0.02937914006
350	0.02930608275
351	0.02922350294
352	0.02910158572
353	0.02900835866
354	0.02895147458
355	0.02889599347
356	0.02875638396
357	0.02868167315
358	0.02862905662
359	0.02855710925
360	0.02846908783
361	0.02832061827
362	0.0282520332
363	0.0281297663
364	0.02800094938
365	0.02793293474
366	0.02784124713
367	0.02775264117
368	0.02768642182
369	0.02760436259
370	0.02752505196
371	0.02747980489
372	0.02743124992
373	0.02736567563
374	0.02730581308
375	0.02721080788
376	0.02714582124
377	0.02709816591
378	0.02698763137
379	0.0269423254
380	0.02687395619
381	0.02682912402
382	0.02676567099
383	0.02670495931
384	0.02666095815
385	0.02662131607
386	0.02654860594
387	0.02641304353
388	0.0263541756
389	0.02631187757
390	0.02625190802
391	0.02621356696
392	0.02616283293
393	0.026104585
394	0.02604784281
395	0.02598659884
396	0.02592368977
397	0.02587134343
398	0.02579873011
399	0.0257229822
400	0.02567479176
401	0.02561984885
402	0.02554740696
403	0.02545572468
404	0.02533058056
405	0.02517957826
406	0.02507036563
407	0.02502424142
408	0.02496964317
409	0.02491666752
410	0.02477388536
411	0.02472161378
412	0.02463137445
413	0.02454231154
414	0.02445518907
415	0.02437965263
416	0.02431572473
417	0.02421157397
418	0.02411139667
419	0.02403242769
420	0.02387285708
421	0.02379378353
422	0.02370314807
423	0.02362676678
424	0.02357152717
425	0.02348049328
426	0.02344064165
427	0.02337819897
428	0.02329649291
429	0.02323532569
430	0.02316868778
431	0.02312840179
432	0.02297732506
433	0.02289266703
434	0.02282245782
435	0.0227386175
436	0.02269300276
437	0.02263037153
438	0.02248870424
439	0.02245070567
440	0.02236215285
441	0.02226299848
442	0.02220340254
443	0.02216685735
444	0.02210952021
445	0.02206824941
446	0.02199062394
447	0.02190740557
448	0.02185198749
449	0.02180633009
450	0.02175250992
451	0.02172321181
452	0.02168063402
453	0.02163906019
454	0.02158694584
455	0.02150049699
456	0.02142226014
457	0.0213592253
458	0.02123847435
459	0.02116418845
460	0.02110328748
461	0.02103048411
462	0.02097221078
463	0.02091061935
464	0.02083697803
465	0.02076426457
466	0.02071780642
467	0.02064705345
468	0.02060426024
469	0.02055348618
470	0.02051704568
471	0.02044687215
472	0.0203768692
473	0.0203067152
474	0.02018730233
475	0.02007084796
476	0.02001420159
477	0.01990210859
478	0.01979977771
479	0.01975888158
480	0.01971126797
481	0.01964594926
482	0.01962159636
483	0.01955935967
484	0.01949887488
485	0.01942994719
486	0.01937683612
487	0.01932672732
488	0.01926416667
489	0.01921501594
490	0.01915066854
491	0.01910700041
492	0.01908516015
493	0.01904719466
494	0.01898473862
495	0.01893345148
496	0.01889091658
497	0.01885117151
498	0.01880972666
499	0.01874897366
